booking_id,propeHRTy_id,booking_date,check_in_date,checkout_date,no_guests,room_category,booking_platform,ratings_given,booking_status,revenue_generated,revenue_realized
May012211258HRT219,11258,10/04/22,01/05/22,02/05/22,3,HRT2,others,5,Checked Out,13860,13860
May012211258HRT220,11258,27/04/22,01/05/22,04/05/22,2,HRT2,Booker,,Checked Out,12600,12600
May012211258HRT221,11258,25/04/22,01/05/22,03/05/22,2,HRT2,direct online,5,Checked Out,12600,12600
May012211258HRT31,11258,27/04/22,01/05/22,03/05/22,3,HRT3,others,3,Checked Out,18480,18480
May012211258HRT32,11258,24/04/22,01/05/22,06/05/22,4,HRT3,Makeyourtrip,,Checked Out,20160,20160
May012211258HRT33,11258,26/04/22,01/05/22,07/05/22,2,HRT3,Makeyourtrip,,Checked Out,16800,16800
May012211258HRT34,11258,29/04/22,01/05/22,02/05/22,1,HRT3,others,5,Checked Out,16800,16800
May012211258HRT35,11258,29/04/22,01/05/22,04/05/22,3,HRT3,others,,Checked Out,18480,18480
May012211258HRT36,11258,29/04/22,01/05/22,03/05/22,2,HRT3,others,,Checked Out,16800,16800
May012211258HRT37,11258,27/04/22,01/05/22,02/05/22,1,HRT3,gotrip,,Checked Out,16800,16800
May012211258HRT38,11258,27/04/22,01/05/22,03/05/22,1,HRT3,Makeyourtrip,,Checked Out,16800,16800
May012211258HRT41,11258,26/04/22,01/05/22,03/05/22,2,HRT4,gotrip,,Cancelled,26600,10640
May012211258HRT42,11258,27/04/22,01/05/22,02/05/22,1,HRT4,Booker,,Checked Out,26600,26600
May012211258HRT43,11258,29/04/22,01/05/22,04/05/22,2,HRT4,direct offline,,Cancelled,26600,10640
May012211259HRT11,11259,28/04/22,01/05/22,03/05/22,2,HRT1,Travelex,3,Checked Out,11050,11050
May012211259HRT12,11259,29/04/22,01/05/22,06/05/22,2,HRT1,Makeyourtrip,5,Checked Out,11050,11050
May012211259HRT13,11259,27/04/22,01/05/22,02/05/22,1,HRT1,Booker,,Cancelled,11050,4420
May012211259HRT14,11259,29/04/22,01/05/22,03/05/22,3,HRT1,direct offline,5,Checked Out,12155,12155
May012211259HRT15,11259,29/04/22,01/05/22,02/05/22,3,HRT1,others,5,Checked Out,12155,12155
May012211259HRT16,11259,11/04/22,01/05/22,02/05/22,2,HRT1,Booker,,Checked Out,11050,11050
May012211259HRT17,11259,30/04/22,01/05/22,02/05/22,2,HRT1,others,,Checked Out,11050,11050
May012211259HRT18,11259,28/04/22,01/05/22,03/05/22,1,HRT1,direct online,,Cancelled,11050,4420
May012211259HRT19,11259,29/04/22,01/05/22,02/05/22,1,HRT1,others,5,Checked Out,11050,11050
May012211259HRT110,11259,27/04/22,01/05/22,06/05/22,2,HRT1,others,5,Checked Out,11050,11050
May012211259HRT111,11259,28/04/22,01/05/22,02/05/22,2,HRT1,Makeyourtrip,,Checked Out,11050,11050
May012211259HRT112,11259,11/04/22,01/05/22,06/05/22,1,HRT1,Travelex,5,Checked Out,11050,11050
May012211259HRT113,11259,26/04/22,01/05/22,02/05/22,2,HRT1,others,,Cancelled,11050,4420
May012211259HRT114,11259,10/04/22,01/05/22,07/05/22,1,HRT1,gotrip,,Checked Out,11050,11050
May012211259HRT115,11259,01/05/22,01/05/22,03/05/22,2,HRT1,Booker,,Checked Out,11050,11050
May012211259HRT116,11259,27/04/22,01/05/22,06/05/22,3,HRT1,Travelex,,Cancelled,12155,4862
May012211259HRT117,11259,25/04/22,01/05/22,03/05/22,4,HRT1,direct offline,,Cancelled,13260,5304
May012211259HRT118,11259,27/04/22,01/05/22,03/05/22,2,HRT1,others,,No Show,11050,11050
May012211259HRT119,11259,29/04/22,01/05/22,06/05/22,2,HRT1,direct offline,5,Checked Out,11050,11050
May012211259HRT120,11259,27/04/22,01/05/22,02/05/22,2,HRT1,Makeyourtrip,5,Checked Out,11050,11050
May012211259HRT121,11259,29/04/22,01/05/22,03/05/22,4,HRT1,others,4,Checked Out,13260,13260
May012211259HRT122,11259,27/04/22,01/05/22,06/05/22,2,HRT1,Makeyourtrip,,Checked Out,11050,11050
May012211259HRT123,11259,29/04/22,01/05/22,06/05/22,1,HRT1,gotrip,,Cancelled,11050,4420
May012211259HRT124,11259,27/04/22,01/05/22,04/05/22,2,HRT1,others,,Cancelled,11050,4420
May012211259HRT125,11259,29/04/22,01/05/22,04/05/22,2,HRT1,gotrip,,Checked Out,11050,11050
May012211259HRT21,11259,27/04/22,01/05/22,02/05/22,3,HRT2,direct offline,,Checked Out,16830,16830
May012211259HRT22,11259,28/04/22,01/05/22,06/05/22,2,HRT2,direct online,3,Checked Out,15300,15300
May012211259HRT23,11259,25/04/22,01/05/22,02/05/22,3,HRT2,Makeyourtrip,5,Checked Out,16830,16830
May012211259HRT24,11259,26/04/22,01/05/22,02/05/22,1,HRT2,Travelex,,Checked Out,15300,15300
May012211259HRT25,11259,01/05/22,01/05/22,04/05/22,2,HRT2,others,5,Checked Out,15300,15300
May012211259HRT26,11259,29/04/22,01/05/22,07/05/22,2,HRT2,others,,Checked Out,15300,15300
May012211259HRT27,11259,01/05/22,01/05/22,02/05/22,4,HRT2,others,,Cancelled,18360,7344
May012211259HRT28,11259,28/04/22,01/05/22,03/05/22,2,HRT2,Travelex,3,Checked Out,15300,15300
May012211259HRT29,11259,25/04/22,01/05/22,05/05/22,3,HRT2,Makeyourtrip,5,Checked Out,16830,16830
May012211259HRT210,11259,30/04/22,01/05/22,05/05/22,3,HRT2,Travelex,,Checked Out,16830,16830
May012211259HRT211,11259,25/04/22,01/05/22,03/05/22,4,HRT2,direct online,5,Checked Out,18360,18360
May012211259HRT212,11259,25/04/22,01/05/22,07/05/22,2,HRT2,direct online,,Cancelled,15300,6120
May012211259HRT213,11259,27/04/22,01/05/22,02/05/22,1,HRT2,gotrip,5,Checked Out,15300,15300
May012211259HRT214,11259,29/04/22,01/05/22,06/05/22,2,HRT2,Makeyourtrip,1,Checked Out,15300,15300
May012211259HRT215,11259,30/04/22,01/05/22,02/05/22,1,HRT2,Makeyourtrip,,Cancelled,15300,6120
May012211259HRT216,11259,26/04/22,01/05/22,02/05/22,2,HRT2,Makeyourtrip,5,Checked Out,15300,15300
May012211259HRT217,11259,28/04/22,01/05/22,03/05/22,4,HRT2,gotrip,,Checked Out,18360,18360
May012211259HRT218,11259,29/04/22,01/05/22,02/05/22,2,HRT2,Makeyourtrip,2,Checked Out,15300,15300
May012211259HRT219,11259,29/04/22,01/05/22,02/05/22,3,HRT2,others,,No Show,16830,16830
May012211259HRT220,11259,26/04/22,01/05/22,02/05/22,2,HRT2,Makeyourtrip,,Cancelled,15300,6120
May012211259HRT221,11259,25/04/22,01/05/22,02/05/22,2,HRT2,others,3,Checked Out,15300,15300
May012211259HRT222,11259,29/04/22,01/05/22,02/05/22,2,HRT2,direct online,,Cancelled,15300,6120
May012211259HRT223,11259,29/04/22,01/05/22,02/05/22,2,HRT2,Travelex,,Checked Out,15300,15300
May012211259HRT224,11259,28/04/22,01/05/22,03/05/22,1,HRT2,Makeyourtrip,1,Checked Out,15300,15300
May012211259HRT225,11259,30/04/22,01/05/22,05/05/22,2,HRT2,Makeyourtrip,1,Checked Out,15300,15300
May012211259HRT226,11259,29/04/22,01/05/22,02/05/22,4,HRT2,others,5,Checked Out,18360,18360
May012211259HRT227,11259,29/04/22,01/05/22,03/05/22,2,HRT2,Booker,,No Show,15300,15300
May012211259HRT228,11259,28/04/22,01/05/22,02/05/22,4,HRT2,gotrip,5,Checked Out,18360,18360
May012211259HRT229,11259,24/04/22,01/05/22,07/05/22,2,HRT2,others,5,Checked Out,15300,15300
May012211259HRT230,11259,24/04/22,01/05/22,02/05/22,2,HRT2,Booker,,Checked Out,15300,15300
May012211259HRT231,11259,29/04/22,01/05/22,03/05/22,2,HRT2,others,,Checked Out,15300,15300
May012211259HRT232,11259,01/05/22,01/05/22,05/05/22,1,HRT2,others,,Checked Out,15300,15300
May012211259HRT233,11259,27/04/22,01/05/22,03/05/22,2,HRT2,others,4,Checked Out,15300,15300
May012211259HRT234,11259,26/04/22,01/05/22,07/05/22,2,HRT2,Travelex,,No Show,15300,15300
May012211259HRT235,11259,29/04/22,01/05/22,02/05/22,2,HRT2,others,,Checked Out,15300,15300
May012211259HRT31,11259,26/04/22,01/05/22,02/05/22,2,HRT3,direct online,,Cancelled,20400,8160
May012211259HRT32,11259,29/04/22,01/05/22,02/05/22,6,HRT3,direct online,,Checked Out,28560,28560
May012211259HRT33,11259,28/04/22,01/05/22,07/05/22,3,HRT3,direct offline,,Cancelled,22440,8976
May012211259HRT34,11259,10/04/22,01/05/22,02/05/22,6,HRT3,gotrip,3,Checked Out,28560,28560
May012211259HRT35,11259,27/04/22,01/05/22,03/05/22,3,HRT3,Booker,,Checked Out,22440,22440
May012211259HRT36,11259,29/04/22,01/05/22,04/05/22,3,HRT3,others,4,Checked Out,22440,22440
May012211259HRT37,11259,28/04/22,01/05/22,06/05/22,2,HRT3,Makeyourtrip,,Checked Out,20400,20400
May012211259HRT38,11259,26/04/22,01/05/22,02/05/22,2,HRT3,others,4,Checked Out,20400,20400
May012211259HRT39,11259,28/04/22,01/05/22,03/05/22,2,HRT3,Makeyourtrip,3,Checked Out,20400,20400
May012211259HRT310,11259,28/04/22,01/05/22,03/05/22,2,HRT3,direct offline,,Checked Out,20400,20400
May012211259HRT311,11259,26/04/22,01/05/22,05/05/22,2,HRT3,gotrip,5,Checked Out,20400,20400
May012211259HRT312,11259,29/04/22,01/05/22,03/05/22,3,HRT3,Booker,,Checked Out,22440,22440
May012211259HRT313,11259,24/04/22,01/05/22,03/05/22,1,HRT3,Makeyourtrip,5,Checked Out,20400,20400
May012211259HRT314,11259,26/04/22,01/05/22,02/05/22,2,HRT3,direct online,5,Checked Out,20400,20400
May012211259HRT315,11259,25/04/22,01/05/22,02/05/22,2,HRT3,direct online,,Checked Out,20400,20400
May012211259HRT316,11259,28/04/22,01/05/22,06/05/22,2,HRT3,Booker,4,Checked Out,20400,20400
May012211259HRT317,11259,27/04/22,01/05/22,02/05/22,2,HRT3,others,,Cancelled,20400,8160
May012211259HRT318,11259,10/04/22,01/05/22,02/05/22,2,HRT3,direct online,,Checked Out,20400,20400
May012211259HRT319,11259,27/04/22,01/05/22,07/05/22,2,HRT3,others,,Checked Out,20400,20400
May012211259HRT320,11259,07/04/22,01/05/22,02/05/22,3,HRT3,others,,Cancelled,22440,8976
May012211259HRT321,11259,26/04/22,01/05/22,03/05/22,2,HRT3,Travelex,,Cancelled,20400,8160
May012211259HRT322,11259,24/04/22,01/05/22,02/05/22,3,HRT3,direct offline,4,Checked Out,22440,22440
May012211259HRT323,11259,28/04/22,01/05/22,07/05/22,2,HRT3,Makeyourtrip,2,Checked Out,20400,20400
May012211259HRT324,11259,28/04/22,01/05/22,06/05/22,6,HRT3,Makeyourtrip,,Cancelled,28560,11424
May012211259HRT325,11259,30/04/22,01/05/22,04/05/22,2,HRT3,Makeyourtrip,,Cancelled,20400,8160
May012211259HRT326,11259,27/04/22,01/05/22,02/05/22,3,HRT3,others,,Cancelled,22440,8976
May012211259HRT327,11259,29/04/22,01/05/22,02/05/22,3,HRT3,others,4,Checked Out,22440,22440
May012211259HRT41,11259,27/04/22,01/05/22,07/05/22,4,HRT4,others,,Checked Out,38760,38760
May012211259HRT42,11259,11/04/22,01/05/22,03/05/22,2,HRT4,direct offline,,Cancelled,32300,12920
May012211259HRT43,11259,01/05/22,01/05/22,02/05/22,6,HRT4,Booker,3,Checked Out,45220,45220
May012211259HRT44,11259,28/04/22,01/05/22,05/05/22,2,HRT4,others,,Checked Out,32300,32300
May012211259HRT45,11259,28/04/22,01/05/22,04/05/22,2,HRT4,others,5,Checked Out,32300,32300
May012211259HRT46,11259,29/04/22,01/05/22,02/05/22,2,HRT4,others,,Cancelled,32300,12920
May012211259HRT47,11259,28/04/22,01/05/22,03/05/22,3,HRT4,others,5,Checked Out,35530,35530
May012211259HRT48,11259,26/04/22,01/05/22,02/05/22,2,HRT4,Makeyourtrip,5,Checked Out,32300,32300
May012211259HRT49,11259,28/04/22,01/05/22,03/05/22,2,HRT4,others,,Checked Out,32300,32300
May012211259HRT410,11259,30/04/22,01/05/22,06/05/22,2,HRT4,gotrip,,No Show,32300,32300
May012211259HRT411,11259,28/04/22,01/05/22,07/05/22,2,HRT4,Makeyourtrip,,Checked Out,32300,32300
May012211259HRT412,11259,29/04/22,01/05/22,07/05/22,2,HRT4,Makeyourtrip,,Cancelled,32300,12920
May012211259HRT413,11259,24/04/22,01/05/22,07/05/22,5,HRT4,gotrip,,Checked Out,41990,41990
May012211259HRT414,11259,11/04/22,01/05/22,07/05/22,2,HRT4,others,2,Checked Out,32300,32300
May012211259HRT415,11259,28/04/22,01/05/22,02/05/22,2,HRT4,others,5,Checked Out,32300,32300
May012211259HRT416,11259,25/04/22,01/05/22,03/05/22,2,HRT4,Booker,,Cancelled,32300,12920
May012211259HRT417,11259,30/04/22,01/05/22,02/05/22,4,HRT4,others,,Cancelled,38760,15504
May012211260HRT11,11260,01/05/22,01/05/22,03/05/22,1,HRT1,direct offline,,Checked Out,9100,9100
May012211260HRT12,11260,30/04/22,01/05/22,02/05/22,2,HRT1,Booker,,Checked Out,9100,9100
May012211260HRT13,11260,27/04/22,01/05/22,02/05/22,1,HRT1,Travelex,3,Checked Out,9100,9100
May012211260HRT14,11260,01/05/22,01/05/22,04/05/22,1,HRT1,gotrip,1,Checked Out,9100,9100
May012211260HRT15,11260,01/05/22,01/05/22,03/05/22,2,HRT1,Makeyourtrip,,Checked Out,9100,9100
May012211260HRT16,11260,28/04/22,01/05/22,03/05/22,3,HRT1,Makeyourtrip,,Checked Out,10010,10010
May012211260HRT17,11260,10/04/22,01/05/22,02/05/22,1,HRT1,others,,Cancelled,9100,3640
May012211260HRT18,11260,30/04/22,01/05/22,02/05/22,4,HRT1,Makeyourtrip,,Checked Out,10920,10920
May012211260HRT19,11260,30/04/22,01/05/22,02/05/22,1,HRT1,others,,Cancelled,9100,3640
May012211260HRT110,11260,25/04/22,01/05/22,02/05/22,1,HRT1,others,2,Checked Out,9100,9100
May012211260HRT111,11260,01/05/22,01/05/22,02/05/22,1,HRT1,others,,Checked Out,9100,9100
May012211260HRT112,11260,30/04/22,01/05/22,05/05/22,2,HRT1,Travelex,3,Checked Out,9100,9100
May012211260HRT113,11260,29/04/22,01/05/22,02/05/22,1,HRT1,direct online,3,Checked Out,9100,9100
May012211260HRT114,11260,29/04/22,01/05/22,02/05/22,4,HRT1,others,4,Checked Out,10920,10920
May012211260HRT115,11260,24/04/22,01/05/22,02/05/22,3,HRT1,others,,Checked Out,10010,10010
May012211260HRT116,11260,27/04/22,01/05/22,02/05/22,1,HRT1,Makeyourtrip,,Cancelled,9100,3640
May012211260HRT117,11260,10/04/22,01/05/22,03/05/22,1,HRT1,others,5,Checked Out,9100,9100
May012211260HRT118,11260,30/04/22,01/05/22,02/05/22,1,HRT1,direct offline,,Checked Out,9100,9100
May012211260HRT119,11260,30/04/22,01/05/22,03/05/22,3,HRT1,others,,Checked Out,10010,10010
May012211260HRT120,11260,28/04/22,01/05/22,02/05/22,3,HRT1,Makeyourtrip,,Cancelled,10010,4004
May012211260HRT121,11260,26/04/22,01/05/22,02/05/22,1,HRT1,direct online,,Checked Out,9100,9100
May012211260HRT122,11260,01/05/22,01/05/22,04/05/22,4,HRT1,others,,Checked Out,10920,10920
May012211260HRT123,11260,25/04/22,01/05/22,02/05/22,1,HRT1,direct online,,Checked Out,9100,9100
May012211260HRT124,11260,01/05/22,01/05/22,02/05/22,1,HRT1,direct online,4,Checked Out,9100,9100
May012211260HRT21,11260,10/04/22,01/05/22,03/05/22,2,HRT2,others,3,Checked Out,12600,12600
May012211260HRT22,11260,07/04/22,01/05/22,02/05/22,2,HRT2,others,3,Checked Out,12600,12600
May012211260HRT23,11260,29/04/22,01/05/22,02/05/22,1,HRT2,Booker,,Checked Out,12600,12600
May012211260HRT24,11260,29/04/22,01/05/22,02/05/22,1,HRT2,others,,Cancelled,12600,5040
May012211260HRT25,11260,30/04/22,01/05/22,02/05/22,1,HRT2,others,,Cancelled,12600,5040
May012211260HRT26,11260,30/04/22,01/05/22,07/05/22,4,HRT2,others,,Checked Out,15120,15120
May012211260HRT27,11260,27/04/22,01/05/22,04/05/22,1,HRT2,Makeyourtrip,2,Checked Out,12600,12600
May012211260HRT28,11260,01/05/22,01/05/22,02/05/22,3,HRT2,Booker,3,Checked Out,13860,13860
May012211260HRT29,11260,30/04/22,01/05/22,02/05/22,1,HRT2,Travelex,3,Checked Out,12600,12600
May012211260HRT210,11260,30/04/22,01/05/22,02/05/22,1,HRT2,Makeyourtrip,,Checked Out,12600,12600
May012211260HRT211,11260,29/04/22,01/05/22,02/05/22,2,HRT2,others,3,Checked Out,12600,12600
May012211260HRT212,11260,01/05/22,01/05/22,02/05/22,1,HRT2,others,3,Checked Out,12600,12600
May012211260HRT213,11260,01/05/22,01/05/22,02/05/22,1,HRT2,others,3,Checked Out,12600,12600
May012211260HRT214,11260,01/05/22,01/05/22,02/05/22,1,HRT2,others,3,Checked Out,12600,12600
May012211260HRT215,11260,27/04/22,01/05/22,02/05/22,2,HRT2,others,,Cancelled,12600,5040
May012211260HRT216,11260,29/04/22,01/05/22,02/05/22,1,HRT2,gotrip,3,Checked Out,12600,12600
May012211260HRT217,11260,29/04/22,01/05/22,02/05/22,2,HRT2,others,,Checked Out,12600,12600
May012211260HRT218,11260,30/04/22,01/05/22,03/05/22,1,HRT2,others,,Cancelled,12600,5040
May012211260HRT219,11260,30/04/22,01/05/22,05/05/22,2,HRT2,others,,Cancelled,12600,5040
May012211260HRT220,11260,29/04/22,01/05/22,02/05/22,1,HRT2,direct online,,Checked Out,12600,12600
May012211260HRT221,11260,10/04/22,01/05/22,02/05/22,2,HRT2,others,,Checked Out,12600,12600
May012211260HRT222,11260,27/04/22,01/05/22,03/05/22,1,HRT2,Booker,4,Checked Out,12600,12600
May012211260HRT223,11260,25/04/22,01/05/22,03/05/22,1,HRT2,Makeyourtrip,3,Checked Out,12600,12600
May012211260HRT224,11260,29/04/22,01/05/22,02/05/22,2,HRT2,Makeyourtrip,,Cancelled,12600,5040
May012211260HRT225,11260,01/05/22,01/05/22,02/05/22,1,HRT2,direct online,3,Checked Out,12600,12600
May012211260HRT31,11260,30/04/22,01/05/22,05/05/22,1,HRT3,others,4,Checked Out,16800,16800
May012211260HRT32,11260,30/04/22,01/05/22,02/05/22,1,HRT3,others,,Checked Out,16800,16800
May012211260HRT33,11260,29/04/22,01/05/22,03/05/22,1,HRT3,Booker,2,Checked Out,16800,16800
May012211260HRT34,11260,01/05/22,01/05/22,03/05/22,1,HRT3,others,,Checked Out,16800,16800
May012211260HRT35,11260,01/05/22,01/05/22,02/05/22,2,HRT3,direct offline,3,Checked Out,16800,16800
May012211260HRT36,11260,26/04/22,01/05/22,03/05/22,2,HRT3,others,,Checked Out,16800,16800
May012211260HRT37,11260,30/04/22,01/05/22,02/05/22,1,HRT3,others,,Checked Out,16800,16800
May012211260HRT38,11260,30/04/22,01/05/22,02/05/22,5,HRT3,others,,Cancelled,21840,8736
May012211260HRT39,11260,30/04/22,01/05/22,02/05/22,1,HRT3,others,4,Checked Out,16800,16800
May012211260HRT310,11260,30/04/22,01/05/22,04/05/22,2,HRT3,direct online,3,Checked Out,16800,16800
May012211260HRT311,11260,30/04/22,01/05/22,04/05/22,1,HRT3,Makeyourtrip,4,Checked Out,16800,16800
May012211260HRT312,11260,30/04/22,01/05/22,04/05/22,1,HRT3,direct online,3,Checked Out,16800,16800
May012211260HRT313,11260,28/04/22,01/05/22,02/05/22,2,HRT3,others,3,Checked Out,16800,16800
May012211260HRT314,11260,01/05/22,01/05/22,02/05/22,1,HRT3,others,,Cancelled,16800,6720
May012211260HRT315,11260,30/04/22,01/05/22,02/05/22,2,HRT3,Makeyourtrip,,Checked Out,16800,16800
May012211260HRT41,11260,30/04/22,01/05/22,04/05/22,1,HRT4,others,,No Show,26600,26600
May012211260HRT42,11260,30/04/22,01/05/22,04/05/22,1,HRT4,others,,Checked Out,26600,26600
May012211260HRT43,11260,07/04/22,01/05/22,02/05/22,2,HRT4,others,,Cancelled,26600,10640
May012211260HRT44,11260,01/05/22,01/05/22,02/05/22,1,HRT4,others,2,Checked Out,26600,26600
May012211260HRT45,11260,30/04/22,01/05/22,03/05/22,5,HRT4,others,3,Checked Out,34580,34580
May012211260HRT46,11260,01/05/22,01/05/22,02/05/22,2,HRT4,others,,Checked Out,26600,26600
May012211261HRT11,11261,07/04/22,01/05/22,03/05/22,2,HRT1,Booker,,Checked Out,9100,9100
May012211261HRT12,11261,27/04/22,01/05/22,03/05/22,1,HRT1,gotrip,5,Checked Out,9100,9100
May012211261HRT13,11261,27/04/22,01/05/22,02/05/22,2,HRT1,Makeyourtrip,,Checked Out,9100,9100
May012211261HRT14,11261,01/05/22,01/05/22,02/05/22,2,HRT1,others,,Checked Out,9100,9100
May012211261HRT15,11261,27/04/22,01/05/22,04/05/22,3,HRT1,Booker,,Checked Out,10010,10010
May012211261HRT16,11261,27/04/22,01/05/22,03/05/22,1,HRT1,direct online,,Checked Out,9100,9100
May012211261HRT17,11261,30/04/22,01/05/22,02/05/22,3,HRT1,gotrip,,Checked Out,10010,10010
May012211261HRT18,11261,11/04/22,01/05/22,02/05/22,2,HRT1,others,,Checked Out,9100,9100
May012211261HRT19,11261,27/04/22,01/05/22,03/05/22,4,HRT1,others,,Checked Out,10920,10920
May012211261HRT110,11261,11/04/22,01/05/22,03/05/22,1,HRT1,others,,Checked Out,9100,9100
May012211261HRT111,11261,29/04/22,01/05/22,06/05/22,2,HRT1,Booker,,Cancelled,9100,3640
May012211261HRT112,11261,27/04/22,01/05/22,05/05/22,3,HRT1,gotrip,5,Checked Out,10010,10010
May012211261HRT113,11261,26/04/22,01/05/22,02/05/22,2,HRT1,Makeyourtrip,,Cancelled,9100,3640
May012211261HRT114,11261,27/04/22,01/05/22,03/05/22,2,HRT1,gotrip,5,Checked Out,9100,9100
May012211261HRT115,11261,25/04/22,01/05/22,06/05/22,1,HRT1,others,4,Checked Out,9100,9100
May012211261HRT116,11261,28/04/22,01/05/22,02/05/22,3,HRT1,Makeyourtrip,,Checked Out,10010,10010
May012211261HRT21,11261,30/04/22,01/05/22,02/05/22,2,HRT2,others,,Cancelled,12600,5040
May012211261HRT22,11261,27/04/22,01/05/22,02/05/22,2,HRT2,others,4,Checked Out,12600,12600
May012211261HRT23,11261,26/04/22,01/05/22,06/05/22,2,HRT2,others,2,Checked Out,12600,12600
May012211261HRT24,11261,26/04/22,01/05/22,02/05/22,4,HRT2,others,,Checked Out,15120,15120
May012211261HRT25,11261,28/04/22,01/05/22,02/05/22,4,HRT2,Booker,,Cancelled,15120,6048
May012211261HRT26,11261,27/04/22,01/05/22,02/05/22,1,HRT2,Makeyourtrip,,Cancelled,12600,5040
May012211261HRT27,11261,29/04/22,01/05/22,06/05/22,2,HRT2,others,3,Checked Out,12600,12600
May012211261HRT28,11261,25/04/22,01/05/22,07/05/22,3,HRT2,direct online,,Cancelled,13860,5544
May012211261HRT29,11261,01/05/22,01/05/22,03/05/22,2,HRT2,others,4,Checked Out,12600,12600
May012211261HRT210,11261,27/04/22,01/05/22,02/05/22,2,HRT2,others,,Cancelled,12600,5040
May012211261HRT211,11261,28/04/22,01/05/22,03/05/22,2,HRT2,Booker,4,Checked Out,12600,12600
May012211261HRT212,11261,10/04/22,01/05/22,02/05/22,3,HRT2,Makeyourtrip,,Cancelled,13860,5544
May012211261HRT213,11261,29/04/22,01/05/22,02/05/22,3,HRT2,Makeyourtrip,5,Checked Out,13860,13860
